candidate,office,district,party,county,precinct,total votes ,election day,early voting
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 114,34,32,2
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 114,25,22,3
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 114,1,0,1
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 114,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 114,89,83,6
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 114,51,46,5
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 114,4,3,1
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 114,0,0,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 114,106,98,8
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 114,36,32,4
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 114,0,0,0
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 114,91,84,7
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 114,49,44,5
Jonathan Miller,House of Delegates,53,REP,Berkeley,PRECINCT 114,98,90,8
"Robert V. ""Bob"" Mills",House of Delegates,53,DEM,Berkeley,PRECINCT 114,42,38,4
,Registered Voters ,,,Berkeley,PRECINCT 115,496,,
,Ballots Cast ,,,Berkeley,PRECINCT 115,238,197,41
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 115,58,49,9
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 115,22,21,1
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 115,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 115,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 115,147,122,25
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 115,78,64,14
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 115,8,8,0
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 115,1,0,1
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 115,177,149,28
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 115,52,41,11
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 115,4,4,0
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 115,144,116,28
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 115,87,74,13
Jonathan Miller,House of Delegates,53,REP,Berkeley,PRECINCT 115,164,138,26
"Robert V. ""Bob"" Mills",House of Delegates,53,DEM,Berkeley,PRECINCT 115,65,53,12
