candidate,office,district,party,county,precinct,votes
"Darrell V. McGraw, Jr. ",Attorney General,,,Monongalia,Precinct 14,236
Jeffrey V. Kessler,State Senate,2,,Monongalia,Precinct 14,
Casey Mayer,State Senate,13,,Monongalia,Precinct 14,134
"Roman W. Prezioso, Jr. ",State Senate,13,,Monongalia,Precinct 14,232
Bob Williams,State Senate,14,,Monongalia,Precinct 14,
Dave Pethtel,House of Delegates,5,,Monongalia,Precinct 14,
Raymond V. Davis III,House of Delegates,5,,Monongalia,Precinct 14,
Denzil W. Sloan ,House of Delegates,5,,Monongalia,Precinct 14,
Jeff Tansill,House of Delegates,49,,Monongalia,Precinct 14,
Mike Manypenny,House of Delegates,49,,Monongalia,Precinct 14,
Amanda Pasdon,House of Delegates,51,,Monongalia,Precinct 14,135
Jay Redmond,House of Delegates,51,,Monongalia,Precinct 14,110
Cindy Frich ,House of Delegates,51,,Monongalia,Precinct 14,154
John P. Woods,House of Delegates,51,,Monongalia,Precinct 14,112
Kevin Scott Poe,House of Delegates,51,,Monongalia,Precinct 14,119
Billy Smerka Jr. ,House of Delegates,51,,Monongalia,Precinct 14,171
Nancy Jamison,House of Delegates,51,,Monongalia,Precinct 14,174
Charlene Marshall ,House of Delegates,51,,Monongalia,Precinct 14,224
Barbara Evans Fleischauer,House of Delegates,51,,Monongalia,Precinct 14,213
"Anthony P. ""Tony"" Barill ",House of Delegates,51,,Monongalia,Precinct 14,215
Harry V. Bertram,House of Delegates,51,,Monongalia,Precinct 14,24
,Registered Voters,,,Monongalia,Precinct 15,247
,Ballots Cast,,,Monongalia,Precinct 15,125
,Straight Party,,REP,Monongalia,Precinct 15,14
,Straight Party,,DEM,Monongalia,Precinct 15,17
,Straight Party,,MTN,Monongalia,Precinct 15,0
,Straight Party,,LIBER,Monongalia,Precinct 15,0
Mitt Romney ,President ,,,Monongalia,Precinct 15,47
Barack Obama,President ,,,Monongalia,Precinct 15,76
Jill Stein,President ,,,Monongalia,Precinct 15,0
Gary Johnson,President ,,,Monongalia,Precinct 15,2
Randall Terry,President ,,,Monongalia,Precinct 15,0
John R. Raese,U.S. Senate,,,Monongalia,Precinct 15,35
Joe Manchin III,U.S. Senate,,,Monongalia,Precinct 15,76
Bob Henry Baber,U.S. Senate,,,Monongalia,Precinct 15,7
David B McKinley ,U.S. House,1,,Monongalia,Precinct 15,45
Sue Thorn,U.S. House,1,,Monongalia,Precinct 15,70
Bill Maloney,Governor,,,Monongalia,Precinct 15,40
Earl Ray Tomblin,Governor,,,Monongalia,Precinct 15,70
Jesse Johnson,Governor,,,Monongalia,Precinct 15,8
David Moran ,Governor,,,Monongalia,Precinct 15,3
Brian Savilla,Secretary of State,,,Monongalia,Precinct 15,25
Natalie E. Tennant,Secretary of State,,,Monongalia,Precinct 15,90
Larry V. Faircloth,Auditor,,,Monongalia,Precinct 15,33
Glen B. Gainer III,Auditor,,,Monongalia,Precinct 15,77
Mike Hall,Treasurer,,,Monongalia,Precinct 15,34
John D. Perdue,Treasurer,,,Monongalia,Precinct 15,78
Kent Leonhardt ,Commissioner of Agriculture,,,Monongalia,Precinct 15,46
Walt Helmick,Commissioner of Agriculture,,,Monongalia,Precinct 15,61
