candidate,office,district,party,county,precinct,total votes,early voting,election day
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 32,122,19,103
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 32,140,21,119
Stephen Skinner,House of Delegates,67,DEM,Jefferson,Precinct 32,133,19,144
Ron Paul,President,,REP,Jefferson,Precinct 32,17,1,16
Newt Gingrich,President,,REP,Jefferson,Precinct 32,8,2,6
Mitt Romney,President,,REP,Jefferson,Precinct 32,105,18,87
Rick Santorum,President,,REP,Jefferson,Precinct 32,18,1,17
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 32,1,0,1
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 32,117,17,100
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 32,2,0,2
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 32,107,21,86
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 32,33,1,32
Ralph William Clark,Governor,,REP,Jefferson,Precinct 32,22,1,21
Bill Maloney,Governor,,REP,Jefferson,Precinct 32,103,19,84
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 32,99,17,82
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 32,106,17,89
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 32,58,12,46
Mike Hall,Treasurer,,REP,Jefferson,Precinct 32,37,5,32
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 32,112,19,93
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 32,117,19,98
Elliot Simon,House of Delegates,67,REP,Jefferson,Precinct 32,73,17,56
W. Matthew Harris,House of Delegates,67,REP,Jefferson,Precinct 32,46,3,43
Keith Judd,President,,DEM,Jefferson,Precinct 33,6,2,4
Barack Obama,President,,DEM,Jefferson,Precinct 33,116,9,107
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 33,31,2,29
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 33,79,8,71
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 33,10,2,8
William McCann,U.S. House,2,DEM,Jefferson,Precinct 33,77,8,69
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 33,5,1,4
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 33,89,10,79
Arne Moltis,Governor,,DEM,Jefferson,Precinct 33,20,1,19
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 33,103,11,92
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 33,92,10,82
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 33,95,11,84
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 33,5,0,5
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 33,88,10,78
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 33,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 33,13,1,12
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 33,1,0,1
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 33,89,10,79
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 33,102,12,90
Stephen Skinner,House of Delegates,67,DEM,Jefferson,Precinct 33,102,9,93
Ron Paul,President,,REP,Jefferson,Precinct 33,3,0,3
Newt Gingrich,President,,REP,Jefferson,Precinct 33,1,1,0
Mitt Romney,President,,REP,Jefferson,Precinct 33,14,2,12
Rick Santorum,President,,REP,Jefferson,Precinct 33,0,0,0
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 33,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 33,14,3,11
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 33,1,0,1
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 33,15,3,12
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 33,2,0,2
Ralph William Clark,Governor,,REP,Jefferson,Precinct 33,3,0,3
Bill Maloney,Governor,,REP,Jefferson,Precinct 33,12,3,9
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 33,13,3,10
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 33,12,3,9
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 33,7,0,7
Mike Hall,Treasurer,,REP,Jefferson,Precinct 33,6,3,3
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 33,13,3,10
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 33,15,3,12
Elliot Simon,House of Delegates,67,REP,Jefferson,Precinct 33,9,3,6
W. Matthew Harris,House of Delegates,67,REP,Jefferson,Precinct 33,5,0,5
Keith Judd,President,,DEM,Jefferson,Precinct 34,37,8,29
Barack Obama,President,,DEM,Jefferson,Precinct 34,175,28,147
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 34,65,10,55
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 34,156,27,129
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 34,23,4,19
William McCann,U.S. House,2,DEM,Jefferson,Precinct 34,157,25,132
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 34,18,3,15
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 34,171,27,144
Arne Moltis,Governor,,DEM,Jefferson,Precinct 34,44,8,36
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 34,203,33,170
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 34,180,28,152
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 34,185,27,158
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 34,8,2,6
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 34,188,28,160
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 34,1,0,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 34,11,1,10
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 34,3,0,3
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 34,185,30,155
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 34,200,32,168
Stephen Skinner,House of Delegates,67,DEM,Jefferson,Precinct 34,193,31,162
Ron Paul,President,,REP,Jefferson,Precinct 34,18,2,16
Newt Gingrich,President,,REP,Jefferson,Precinct 34,7,3,4
Mitt Romney,President,,REP,Jefferson,Precinct 34,89,15,74
Rick Santorum,President,,REP,Jefferson,Precinct 34,14,2,12
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 34,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 34,112,17,95
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 34,2,1,1
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 34,98,19,79
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 34,22,2,20
Ralph William Clark,Governor,,REP,Jefferson,Precinct 34,27,6,21
Bill Maloney,Governor,,REP,Jefferson,Precinct 34,86,16,70
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 34,88,17,71
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 34,96,18,78
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 34,55,9,46
Mike Hall,Treasurer,,REP,Jefferson,Precinct 34,26,6,20
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 34,100,19,81
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 34,102,20,82
Elliot Simon,House of Delegates,67,REP,Jefferson,Precinct 34,71,16,55
W. Matthew Harris,House of Delegates,67,REP,Jefferson,Precinct 34,24,5,19
Keith Judd,President,,DEM,Jefferson,Precinct 35A,15,2,13
Barack Obama,President,,DEM,Jefferson,Precinct 35A,130,14,116
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 35A,44,4,40
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 35A,104,11,93
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 35A,10,1,9
William McCann,U.S. House,2,DEM,Jefferson,Precinct 35A,96,10,86
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 35A,16,2,14
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 35A,113,12,101
Arne Moltis,Governor,,DEM,Jefferson,Precinct 35A,25,4,21
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 35A,132,12,120
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 35A,125,12,113
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 35A,124,12,112
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 35A,6,1,5
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 35A,112,13,99
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 35A,1,0,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 35A,14,1,13
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 35A,9,1,8
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 35A,118,12,106
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 35A,133,11,122
Stephen Skinner,House of Delegates,67,DEM,Jefferson,Precinct 35A,141,13,128
Ron Paul,President,,REP,Jefferson,Precinct 35A,17,1,16
Newt Gingrich,President,,REP,Jefferson,Precinct 35A,2,0,2
Mitt Romney,President,,REP,Jefferson,Precinct 35A,68,10,58
Rick Santorum,President,,REP,Jefferson,Precinct 35A,7,0,7
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 35A,1,0,1
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 35A,80,9,71
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 35A,1,0,1
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 35A,77,9,68
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 35A,14,2,12
Ralph William Clark,Governor,,REP,Jefferson,Precinct 35A,14,1,13
Bill Maloney,Governor,,REP,Jefferson,Precinct 35A,70,9,61
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 35A,73,8,65
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 35A,77,8,69
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 35A,47,4,43
Mike Hall,Treasurer,,REP,Jefferson,Precinct 35A,22,4,18
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 35A,80,9,71
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 35A,79,9,70
Elliot Simon,House of Delegates,67,REP,Jefferson,Precinct 35A,55,5,50
W. Matthew Harris,House of Delegates,67,REP,Jefferson,Precinct 35A,23,4,19
Keith Judd,President,,DEM,Jefferson,Precinct 35B,18,0,18
Barack Obama,President,,DEM,Jefferson,Precinct 35B,167,26,141
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 35B,61,7,54
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 35B,122,17,105
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 35B,24,3,21
William McCann,U.S. House,2,DEM,Jefferson,Precinct 35B,121,19,102
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 35B,12,1,11
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 35B,149,22,127
Arne Moltis,Governor,,DEM,Jefferson,Precinct 35B,34,4,30
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 35B,158,22,136
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 35B,145,19,126
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 35B,145,20,125
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 35B,9,0,9
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 35B,155,24,131
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 35B,3,0,3
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 35B,10,2,8
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 35B,5,0,5
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 35B,144,19,125
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 35B,159,22,137
Stephen Skinner,House of Delegates,67,DEM,Jefferson,Precinct 35B,165,20,145
Ron Paul,President,,REP,Jefferson,Precinct 35B,9,1,8
Newt Gingrich,President,,REP,Jefferson,Precinct 35B,8,1,7
Mitt Romney,President,,REP,Jefferson,Precinct 35B,63,5,58
Rick Santorum,President,,REP,Jefferson,Precinct 35B,7,0,7
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 35B,2,0,2
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 35B,72,8,64
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 35B,3,0,3
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 35B,58,6,52
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 35B,25,2,23
Ralph William Clark,Governor,,REP,Jefferson,Precinct 35B,13,1,12
Bill Maloney,Governor,,REP,Jefferson,Precinct 35B,62,7,55
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 35B,64,7,57
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 35B,68,7,61
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 35B,38,3,35
Mike Hall,Treasurer,,REP,Jefferson,Precinct 35B,33,5,28
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 35B,78,8,70
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 35B,78,8,70
Elliot Simon,House of Delegates,67,REP,Jefferson,Precinct 35B,49,6,43
W. Matthew Harris,House of Delegates,67,REP,Jefferson,Precinct 35B,24,2,22
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
